id,category,product,access,source_code,license,evidence_grade,key_capability,borrow_for_signal_desk,primary_url,repo_url,as_of
P01,Institutional,Bloomberg Terminal,Paid closed,No,Proprietary,B,"Custom multi-asset workspace; market-moving news; alerts; mobile continuity","Linked panels, saved layouts, watchlist-first monitoring",https://professional.bloomberg.com/products/bloomberg-terminal/,,2026-09-03
P02,Institutional,LSEG Workspace,Paid closed,No,Proprietary,A,"Reuters plus broad source universe; watchlist pulse; AI search; citations","Portfolio exposure, alert summaries, evidence-linked search",https://www.lseg.com/en/data-analytics/products/workspace,,2026-09-03
P03,Institutional,FactSet Workstation and StreetAccount,Paid closed,No,Proprietary,A,"Portfolio-aware news; scheduled summaries; research collaboration; APIs","Morning/midday/EOD digests and team notes",https://insight.factset.com/hubfs/Resources%20Section/Brochures/solutions-for-portfolio-managers-brochure.pdf,,2026-09-03
P04,Institutional,S&P Capital IQ Pro,Paid closed,No,Proprietary,A,"Personalized news homepage; focused alerts; sentiment; price-move explainer","Explain a move with linked news and research while preserving evidence",https://www.spglobal.com/market-intelligence/en/solutions/news-and-insights,,2026-09-03
P05,Institutional,Morningstar Direct,Paid closed,No,Proprietary,B,"Unified research, portfolio analytics, feeds and reporting","Portfolio context and repeatable report templates",https://www.morningstar.com/business/products/direct,,2026-09-03
P06,Institutional,Interactive Brokers TWS,Account platform,No,Proprietary,A,"Linkable workspaces combining watchlists, quotes, charts, news and risk","Cross-widget symbol linking and context around holdings",https://www.interactivebrokers.com/en/trading/tws.php,,2026-09-03
P07,AI research,AlphaSense,Paid closed,No,Proprietary,A,"Search across filings, transcripts, research, news and internal content; cited snippets; alerts","Grounded cluster summaries, notebook, shared monitoring",https://www.alpha-sense.com/solutions/market-intelligence-platform/,,2026-09-03
P08,AI research,RavenPack Edge,Paid data/API,No,Proprietary,A,"Entity detection, event taxonomy, relevance, novelty, sentiment and risk metadata","Keep relevance, novelty, credibility and sentiment as separate fields",https://www.ravenpack.com/products/edge,,2026-09-03
P09,AI research,Dataminr for Financial Services,Paid closed/API,No,Proprietary,B,"Early multimodal event detection with entity, location and ticker metadata","Fast event intake and metadata-rich alert envelopes",https://www.dataminr.com/use-cases/financial-services/,,2026-09-03
P10,AI research,Bigdata.com,Paid closed/API/MCP,No,Proprietary,A,"Finance search, retrieval, reranking, knowledge graph and cited grounding","Retrieval layer and claim-level citations",https://bigdata.com/developers,,2026-09-03
P11,AI research,Fiscal.ai,Paid and API,No,Proprietary,A,"News/event types and importance; filings, transcripts, fund letters; source-to-filing audit links","Primary-document context and auditable numbers",https://docs.fiscal.ai/docs/introduction,,2026-09-03
P12,AI research,Quartr,Paid and API,No,Proprietary,A,"First-party IR material, live calls, transcripts, slide comparison, watchlists and recaps","Treat IR documents and call timelines as first-class sources",https://quartr.com/features,,2026-09-03
P13,AI research,Perplexity Enterprise for Finance,Paid closed,No,Proprietary,B,"Cited answers across filings, calls, proprietary databases and the web","Question answering only after retrieval and citation coverage are enforced",https://www.perplexity.ai/gen/enterprise/finance,,2026-09-03
P14,Trader news,Benzinga Pro,Paid closed/API,No,Proprietary,A,"Filterable real-time feed, Why Is It Moving, Squawk, calendars and alerts","Fast feed, explicit driver field and granular alert destinations",https://www.benzinga.com/pro/feature/newsfeed/,,2026-09-03
P15,Trader news,Newsquawk,Paid closed,No,Proprietary,B,"Human-filtered low-latency audio and text; calendar; saved searches; analyst chat","Optional audio channel and analyst-curated urgency",https://portal.newsquawk.com/features.html,,2026-09-03
P16,Trader news,The Fly,Paid closed,No,Proprietary,C,"Real-time breaking news and portfolio-personalized feed","Compact company-centric wire view",https://www.thefly.com/,,2026-09-03
P17,Trader news,MT Newswires,Paid feed/API,No,Proprietary,B,"Ticker/category-coded high-volume financial wire delivered through API, FTP and RSS","Structured vendor feed adapter",https://www.mtnewswires.com/web-solutions,,2026-09-03
P18,Trader news,TradeTheNews,Paid closed,No,Proprietary,B,"Audio/text news, calendars, analyst access and historical database","Wire plus calendar in one triage surface",https://www.tradethenews.com/,,2026-09-03
P19,Retail/social/alternative,Koyfin,Freemium closed,No,Proprietary,A,"Configurable dashboards, watchlists, news-source/topic filters and alerts","Editable dashboards and reusable watchlist views",https://www.koyfin.com/features/alerts/,,2026-09-03
P20,Retail/social/alternative,TradingView News Flow,Freemium closed,No,Proprietary,A,"Filters by watchlist, instrument, market, sector, event, country, provider and format; cross-device alerts","Filter grammar and chart-linked news",https://www.tradingview.com/support/solutions/43000732560-news-flow-s-filters-overview/,,2026-09-03
P21,Retail/social/alternative,Finviz,Freemium closed,No,Proprietary,B,"Screener combining fundamentals, technicals, news and event signals","News as one dimension of an instrument screener",https://finviz.com/help/screener,,2026-09-03
P22,Retail/social/alternative,Seeking Alpha Portfolio,Freemium closed,No,Proprietary,B,"Portfolio and watchlist alerts, ratings, health and performance context","Expose portfolio relevance next to each story",https://help.seekingalpha.com/what-are-the-key-features-of-seeking-alphas-portfolio-tracker,,2026-09-03
P23,Retail/social/alternative,Yahoo Finance,Freemium closed,No,Proprietary,B,"Portfolios, watchlists, research, risk/fair-value context and mobile alerts","Simple mainstream watchlist workflow",https://finance.yahoo.com/subscriptions/,,2026-09-03
P24,Retail/social/alternative,Investing.com,Freemium closed,No,Proprietary,A,"Breaking news, multi-asset watchlist, economic calendar and cross-device alerts","Unify news and scheduled catalysts",https://www.investing.com/mobile/?screen=markets,,2026-09-03
P25,Retail/social/alternative,Stocktwits,Freemium closed,No,Proprietary,A,"Symbol feeds, bullish/bearish voting, watcher and attention trends","Social attention as a separate noisy signal, never source truth",https://help.stocktwits.com/c/navigating/articles/new-symbol-page,,2026-09-03
P26,Retail/social/alternative,TipRanks Smart Portfolio,Freemium closed,No,Proprietary,B,"Portfolio diagnostics, upcoming events, catalysts and AI explanations","Portfolio-event exposure and catalyst calendar",https://www.tipranks.com/news/labs/tipranks-ups-your-smart-portfolio-experience-with-two-new-features,,2026-09-03
P27,Retail/social/alternative,Unusual Whales,Paid closed/API/MCP,No,Proprietary,A,"Live news combined with options and dark-pool activity; APIs and streaming","Cross-check news with unusual flow as optional context",https://unusualwhales.com/public-api,,2026-09-03
P28,Retail/social/alternative,Quiver Quantitative,Freemium closed,No,Proprietary,A,"Congress, insider, contracts, lobbying and other alternative datasets with alerts and backtests","Non-news catalysts as typed events",https://www.quiverquant.com/,,2026-09-03
P29,General intelligence,Feedly AI Feeds,Paid closed,No,Proprietary,A,"AI topic models, Boolean composition, natural-language filters, mute rules and automation","Saved monitor builder with include/exclude/mute controls",https://docs.feedly.com/article/699-guide-to-ai-feeds-market-intel,,2026-09-03
P30,General intelligence,Inoreader,Freemium closed,No,Proprietary,A,"RSS, newsletters, social/web feeds, global search, rules, duplicate filters and push","Rule engine and feed-management workflow",https://www.inoreader.com/pricing/feature/subscriptions,,2026-09-03
P31,General intelligence,Readwise Reader,Paid closed,No,Proprietary,B,"Unified reader for RSS, newsletters, PDFs and video with highlights, notes, search and exports","Read-later, highlights, annotations and knowledge export",https://readwise.io/read,,2026-09-03
P32,Open source,OpenBB,Open source,Yes,AGPL-3.0-only,A,"Provider registry, typed query/data models and common schemas across data vendors","Reimplement provider adapters and capability map; do not copy into MIT project",https://openbb.co/,https://github.com/OpenBB-finance/OpenBB,2026-09-03
P33,Open source,Fincept Terminal,Open source with commercial restrictions,Yes,"Repository states AGPL-3.0 plus additional commercial terms",A,"Persistent news, FTS, read/save state, monitors, progressive loading and desktop panes","Study concepts only; license and trade-dress text create high reuse risk",https://fincept.in/,https://github.com/Fincept-Corporation/FinceptTerminal,2026-09-03
P34,Open source,WorldMonitor,Open source,Yes,AGPL-3.0,A,"Source inventory, health telemetry, story identity, clustering, publisher families, separate importance/credibility and grounded briefs","Reimplement concepts independently; strongest architecture reference",https://worldmonitor.app/,https://github.com/koala73/worldmonitor,2026-09-03
P35,Open source,mkt,Open source,Yes,MIT,A,"Concurrent bounded RSS and SEC filing ingestion into one headline envelope","Adapt source isolation, timeouts and filings-as-events with attribution",,https://github.com/stxkxs/mkt,2026-09-03
P36,Open source,Macro Dashboard,Open source,Yes,No license found,A,"Source registry, per-bucket TTLs, topic tabs, stale/error states and market-driver headlines","Study UX and cache separation; no code copying without permission",,https://github.com/tduic/macro-dashboard,2026-09-03
P37,Open source,Breaking News Market Sentiment,Open source,Yes,MIT,A,"Large RSS list, rule taxonomy, VADER sentiment and market-correlation experiments","Borrow taxonomy and benchmark harness; reject naive aggregate sentiment",,https://github.com/ShaonINT/breaking_news_market_sentiment,2026-09-03
P38,Open source,Financial Market Dashboard by sarsiz,Open source,Yes,MIT,A,"SQLite event envelope, stable IDs, source labels, ranking and radar views","Borrow persisted event schema ideas; avoid monolith and arbitrary scores",,https://github.com/sarsiz/Financial-Market-Dashboard,2026-09-03
P39,Open source,alphai-tui,Open source,Yes,MIT,A,"Demand-driven polling, request-budget controls, story clusters, unread markers, cursor paging and list/detail UI","Strongest lightweight interaction and polling reference",,https://github.com/makeev/alphai-tui,2026-09-03
P40,Open source,Bloomberg Terminal clone by feremabraz,Open source repository,Yes,No license found,A,"Dense terminal shell, keyboard navigation and watchlist layout; partly simulated data","Borrow generic density and shortcuts only; avoid branding, data layer and code reuse",,https://github.com/feremabraz/bloomberg-terminal,2026-09-03
P41,Open source,FinRobot,Open source,Yes,Apache-2.0,A,"Research workflows, provenance-aware reports and separation of deterministic calculations from narrative","Use deterministic-data/LLM-narrative boundary; avoid multi-agent scope now",,https://github.com/AI4Finance-Foundation/FinRobot,2026-09-03
P42,Open source,FinGPT,Open source research,Yes,MIT,A,"Financial sentiment, NER, relation and headline benchmarks plus LoRA research demos","Use task definitions and labeled evaluation ideas; not a production news backend",,https://github.com/AI4Finance-Foundation/FinGPT,2026-09-03
P43,Open source,FinBERT,Open source research,Yes,Apache-2.0,A,"Three-class financial-text sentiment model and probabilities","Benchmark against simple rules only after a labeled in-domain set exists",,https://github.com/ProsusAI/finBERT,2026-09-03
P44,Open source,Glance,Open source,Yes,AGPL-3.0,A,"YAML-configured responsive widgets, per-widget cache and safe config reload","Reimplement configuration-driven dashboard composition",https://github.com/glanceapp/glance,https://github.com/glanceapp/glance,2026-09-03
P45,Open source,Miniflux,Open source,Yes,Apache-2.0,A,"Mature feed parsing, ETag/Last-Modified, adaptive scheduling, rules, persistence, search, read/star state and feed errors","Best permissive reliability reference; preserve attribution if code is reused",https://miniflux.app/,https://github.com/miniflux/v2,2026-09-03
P46,Open source,RSSHub,Open source,Yes,AGPL-3.0,A,"Thousands of source routes, route metadata, shared cache and stampede control","Optional isolated source bridge; source terms and full-text rights require per-route review",https://docs.rsshub.app/,https://github.com/DIYgod/RSSHub,2026-09-03
P47,Open source,Folo,Open source,Yes,AGPL-3.0,A,"Unified timeline, curated lists, translation and summaries with global/rule/one-off controls","Borrow the three-level personalization model and timeline states",https://folo.is/,https://github.com/RSSNext/Folo,2026-09-03
P48,Open source,Financial Daily by Yang1Bai,Open source repository,Yes,"No LICENSE file found; README says MIT",A,"Scheduled daily report, archive, RSS output and messaging distribution","Borrow archive/digest pipeline only; reject LLM-as-source and insecure secret handling",https://yang1bai.github.io/finance-daily-site/,https://github.com/Yang1Bai/finance-daily-site,2026-09-03
